time,temperature_2m (°C),precipitation (mm),rain (mm),cloudcover (%),cloudcover_low (%),cloudcover_mid (%),cloudcover_high (%),windspeed_10m (km/h),winddirection_10m (°),Date
2018-10-06 00:00:00,18.1,0.0,0.0,22.0,24.0,0.0,0.0,6.8,162.0,2018-10-06
2018-10-06 01:00:00,17.9,0.0,0.0,15.0,17.0,0.0,0.0,7.4,151.0,2018-10-06
2018-10-06 02:00:00,17.9,0.0,0.0,13.0,14.0,0.0,0.0,7.3,147.0,2018-10-06
2018-10-06 03:00:00,17.8,0.0,0.0,20.0,20.0,4.0,0.0,6.0,147.0,2018-10-06
2018-10-06 04:00:00,17.6,0.0,0.0,44.0,33.0,23.0,0.0,7.2,143.0,2018-10-06
2018-10-06 05:00:00,17.6,0.0,0.0,85.0,53.0,62.0,0.0,8.4,137.0,2018-10-06
2018-10-06 06:00:00,17.7,0.0,0.0,100.0,70.0,82.0,0.0,8.4,133.0,2018-10-06
2018-10-06 07:00:00,17.6,0.0,0.0,100.0,78.0,68.0,1.0,7.9,133.0,2018-10-06
2018-10-06 08:00:00,17.5,0.0,0.0,93.0,87.0,24.0,1.0,6.4,128.0,2018-10-06
2018-10-06 09:00:00,16.7,0.0,0.0,93.0,95.0,13.0,0.0,6.3,121.0,2018-10-06
2018-10-06 10:00:00,17.2,0.0,0.0,100.0,91.0,93.0,0.0,7.1,135.0,2018-10-06
2018-10-06 11:00:00,17.2,0.0,0.0,100.0,100.0,82.0,0.0,5.4,138.0,2018-10-06
2018-10-06 12:00:00,17.1,0.0,0.0,100.0,100.0,72.0,0.0,7.1,135.0,2018-10-06
2018-10-06 13:00:00,17.2,0.0,0.0,100.0,100.0,83.0,1.0,6.6,139.0,2018-10-06
2018-10-06 14:00:00,17.3,0.0,0.0,100.0,100.0,96.0,0.0,7.9,137.0,2018-10-06
2018-10-06 15:00:00,17.8,0.0,0.0,100.0,100.0,99.0,8.0,9.0,143.0,2018-10-06
2018-10-06 16:00:00,18.0,0.0,0.0,100.0,100.0,89.0,2.0,10.2,148.0,2018-10-06
2018-10-06 17:00:00,18.1,0.0,0.0,100.0,100.0,66.0,0.0,11.8,157.0,2018-10-06
2018-10-06 18:00:00,18.3,0.0,0.0,100.0,100.0,27.0,0.0,12.9,162.0,2018-10-06
2018-10-06 19:00:00,18.4,0.0,0.0,97.0,100.0,11.0,0.0,14.1,165.0,2018-10-06
2018-10-06 20:00:00,18.7,0.0,0.0,93.0,100.0,5.0,0.0,14.6,170.0,2018-10-06
2018-10-06 21:00:00,18.8,0.0,0.0,92.0,100.0,4.0,0.0,11.1,167.0,2018-10-06
2018-10-06 22:00:00,19.2,0.0,0.0,94.0,100.0,6.0,0.0,9.1,162.0,2018-10-06
2018-10-06 23:00:00,19.2,0.0,0.0,93.0,100.0,5.0,0.0,9.7,165.0,2018-10-06
2018-10-07 00:00:00,19.2,0.0,0.0,91.0,100.0,1.0,0.0,9.4,173.0,2018-10-07
2018-10-07 01:00:00,19.3,0.0,0.0,91.0,100.0,2.0,0.0,9.7,180.0,2018-10-07
2018-10-07 02:00:00,19.5,0.0,0.0,91.0,100.0,1.0,0.0,10.6,190.0,2018-10-07
2018-10-07 03:00:00,19.7,0.0,0.0,95.0,100.0,8.0,0.0,12.0,196.0,2018-10-07
2018-10-07 04:00:00,19.7,0.0,0.0,100.0,100.0,19.0,0.0,11.8,203.0,2018-10-07
2018-10-07 05:00:00,19.8,0.0,0.0,100.0,100.0,24.0,1.0,10.8,210.0,2018-10-07
2018-10-07 06:00:00,19.9,0.0,0.0,100.0,99.0,33.0,0.0,11.2,213.0,2018-10-07
2018-10-07 07:00:00,19.9,0.0,0.0,100.0,99.0,26.0,0.0,12.0,213.0,2018-10-07
2018-10-07 08:00:00,20.1,0.0,0.0,100.0,100.0,18.0,0.0,11.9,215.0,2018-10-07
2018-10-07 09:00:00,20.2,0.0,0.0,98.0,99.0,14.0,0.0,11.0,218.0,2018-10-07
2018-10-07 10:00:00,20.5,0.0,0.0,94.0,100.0,7.0,0.0,7.7,229.0,2018-10-07
2018-10-07 11:00:00,20.7,0.0,0.0,92.0,100.0,4.0,0.0,5.9,223.0,2018-10-07
2018-10-07 12:00:00,20.8,0.0,0.0,98.0,100.0,14.0,0.0,7.1,229.0,2018-10-07
2018-10-07 13:00:00,20.9,0.0,0.0,100.0,100.0,24.0,29.0,7.7,229.0,2018-10-07
2018-10-07 14:00:00,21.5,0.0,0.0,100.0,100.0,14.0,43.0,10.8,233.0,2018-10-07
2018-10-07 15:00:00,22.3,0.0,0.0,100.0,100.0,10.0,42.0,11.6,248.0,2018-10-07
2018-10-07 16:00:00,23.0,0.0,0.0,100.0,100.0,1.0,40.0,11.2,264.0,2018-10-07
2018-10-07 17:00:00,23.7,0.0,0.0,95.0,100.0,1.0,16.0,9.7,274.0,2018-10-07
2018-10-07 18:00:00,24.3,0.0,0.0,100.0,100.0,7.0,25.0,5.4,278.0,2018-10-07
2018-10-07 19:00:00,24.3,0.0,0.0,94.0,97.0,4.0,13.0,4.0,275.0,2018-10-07
2018-10-07 20:00:00,24.2,0.0,0.0,79.0,86.0,0.0,5.0,2.4,243.0,2018-10-07
2018-10-07 21:00:00,24.3,0.0,0.0,70.0,78.0,0.0,0.0,2.6,164.0,2018-10-07
2018-10-07 22:00:00,23.7,0.0,0.0,50.0,50.0,8.0,0.0,4.2,160.0,2018-10-07
2018-10-07 23:00:00,23.1,0.0,0.0,84.0,73.0,25.0,10.0,5.8,180.0,2018-10-07
2018-10-08 00:00:00,22.3,0.0,0.0,22.0,3.0,18.0,28.0,5.4,184.0,2018-10-08
2018-10-08 01:00:00,22.2,0.0,0.0,16.0,8.0,5.0,19.0,4.9,197.0,2018-10-08
2018-10-08 02:00:00,22.2,0.0,0.0,24.0,18.0,12.0,3.0,1.5,194.0,2018-10-08
2018-10-08 03:00:00,21.2,0.0,0.0,52.0,33.0,35.0,3.0,4.4,351.0,2018-10-08
2018-10-08 04:00:00,20.9,0.2,0.2,100.0,76.0,73.0,4.0,8.3,5.0,2018-10-08
2018-10-08 05:00:00,20.8,0.0,0.0,100.0,87.0,45.0,2.0,9.1,18.0,2018-10-08
2018-10-08 06:00:00,20.6,0.0,0.0,100.0,82.0,43.0,4.0,10.0,26.0,2018-10-08
2018-10-08 07:00:00,20.5,0.0,0.0,85.0,68.0,35.0,8.0,10.8,30.0,2018-10-08
2018-10-08 08:00:00,20.1,0.0,0.0,90.0,74.0,34.0,10.0,11.8,40.0,2018-10-08
2018-10-08 09:00:00,19.1,0.0,0.0,100.0,100.0,23.0,7.0,13.1,53.0,2018-10-08
2018-10-08 10:00:00,19.0,0.0,0.0,100.0,100.0,80.0,0.0,8.8,78.0,2018-10-08
2018-10-08 11:00:00,18.8,0.0,0.0,100.0,100.0,82.0,0.0,9.9,71.0,2018-10-08
2018-10-08 12:00:00,18.5,0.0,0.0,100.0,100.0,81.0,0.0,10.9,73.0,2018-10-08
2018-10-08 13:00:00,18.4,0.0,0.0,100.0,100.0,90.0,0.0,11.2,75.0,2018-10-08
2018-10-08 14:00:00,18.3,0.0,0.0,100.0,100.0,90.0,0.0,12.0,83.0,2018-10-08
2018-10-08 15:00:00,18.2,0.0,0.0,100.0,100.0,94.0,0.0,13.0,85.0,2018-10-08
2018-10-08 16:00:00,18.5,0.1,0.1,100.0,100.0,89.0,0.0,13.3,87.0,2018-10-08
2018-10-08 17:00:00,18.3,0.1,0.1,100.0,100.0,92.0,0.0,13.3,92.0,2018-10-08
2018-10-08 18:00:00,18.1,0.2,0.2,100.0,100.0,88.0,0.0,12.7,97.0,2018-10-08
2018-10-08 19:00:00,18.2,0.2,0.2,100.0,100.0,81.0,0.0,13.1,99.0,2018-10-08
2018-10-08 20:00:00,18.0,0.2,0.2,100.0,100.0,73.0,0.0,13.2,101.0,2018-10-08
2018-10-08 21:00:00,18.1,0.0,0.0,100.0,100.0,50.0,0.0,13.7,104.0,2018-10-08
2018-10-08 22:00:00,18.1,0.0,0.0,100.0,100.0,67.0,0.0,12.4,98.0,2018-10-08
2018-10-08 23:00:00,18.1,0.0,0.0,100.0,100.0,44.0,0.0,11.6,97.0,2018-10-08
2018-10-10 00:00:00,21.9,0.0,0.0,100.0,79.0,16.0,93.0,10.5,184.0,2018-10-10
2018-10-10 01:00:00,21.7,0.0,0.0,100.0,100.0,8.0,73.0,9.9,190.0,2018-10-10
2018-10-10 02:00:00,21.5,0.0,0.0,92.0,98.0,5.0,2.0,9.7,195.0,2018-10-10
2018-10-10 03:00:00,21.3,0.0,0.0,93.0,94.0,6.0,17.0,9.1,198.0,2018-10-10
2018-10-10 04:00:00,21.2,0.0,0.0,87.0,73.0,4.0,62.0,9.5,205.0,2018-10-10
2018-10-10 05:00:00,20.9,0.0,0.0,81.0,59.0,8.0,76.0,8.7,210.0,2018-10-10
2018-10-10 06:00:00,20.6,0.0,0.0,56.0,40.0,2.0,63.0,8.6,213.0,2018-10-10
2018-10-10 07:00:00,20.3,0.0,0.0,70.0,58.0,4.0,52.0,7.7,208.0,2018-10-10
2018-10-10 08:00:00,20.1,0.0,0.0,100.0,95.0,2.0,69.0,7.4,209.0,2018-10-10
2018-10-10 09:00:00,20.1,0.0,0.0,100.0,100.0,1.0,89.0,7.3,213.0,2018-10-10
2018-10-10 10:00:00,20.6,0.0,0.0,100.0,100.0,15.0,81.0,4.5,241.0,2018-10-10
2018-10-10 11:00:00,20.8,0.0,0.0,100.0,100.0,13.0,68.0,4.0,207.0,2018-10-10
2018-10-10 12:00:00,20.9,0.0,0.0,100.0,100.0,17.0,46.0,3.4,198.0,2018-10-10
2018-10-10 13:00:00,21.5,0.0,0.0,100.0,100.0,19.0,19.0,5.4,200.0,2018-10-10
2018-10-10 14:00:00,22.0,0.0,0.0,99.0,97.0,18.0,2.0,8.4,220.0,2018-10-10
2018-10-10 15:00:00,23.5,0.0,0.0,63.0,57.0,20.0,0.0,8.4,223.0,2018-10-10
2018-10-10 16:00:00,24.2,0.0,0.0,64.0,54.0,25.0,0.0,10.0,221.0,2018-10-10
2018-10-10 17:00:00,25.3,0.0,0.0,54.0,38.0,33.0,0.0,11.7,223.0,2018-10-10
2018-10-10 18:00:00,25.7,0.0,0.0,54.0,33.0,40.0,0.0,11.9,215.0,2018-10-10
2018-10-10 19:00:00,25.9,0.2,0.2,53.0,24.0,52.0,1.0,12.4,206.0,2018-10-10
2018-10-10 20:00:00,25.5,0.2,0.2,58.0,40.0,36.0,1.0,11.1,193.0,2018-10-10
2018-10-10 21:00:00,25.4,0.0,0.0,38.0,22.0,28.0,5.0,9.8,172.0,2018-10-10
2018-10-10 22:00:00,23.9,0.0,0.0,29.0,12.0,31.0,0.0,8.7,142.0,2018-10-10
2018-10-10 23:00:00,23.1,0.0,0.0,74.0,50.0,35.0,25.0,10.5,153.0,2018-10-10
2018-10-12 00:00:00,22.0,1.8,1.8,99.0,12.0,97.0,100.0,4.9,163.0,2018-10-12
2018-10-12 01:00:00,21.9,1.3,1.3,100.0,80.0,100.0,100.0,5.5,191.0,2018-10-12
2018-10-12 02:00:00,21.8,1.2,1.2,100.0,50.0,97.0,100.0,4.9,234.0,2018-10-12
2018-10-12 03:00:00,21.3,1.1,1.1,98.0,20.0,84.0,100.0,5.7,342.0,2018-10-12
2018-10-12 04:00:00,21.6,1.0,1.0,100.0,88.0,66.0,100.0,6.2,350.0,2018-10-12
2018-10-12 05:00:00,21.0,1.1,1.1,100.0,100.0,69.0,100.0,7.6,355.0,2018-10-12
2018-10-12 06:00:00,20.7,1.2,1.2,100.0,99.0,96.0,100.0,14.9,352.0,2018-10-12
2018-10-12 07:00:00,20.1,1.6,1.6,100.0,93.0,94.0,100.0,19.1,357.0,2018-10-12
2018-10-12 08:00:00,18.8,2.7,2.7,100.0,91.0,49.0,100.0,22.8,354.0,2018-10-12
2018-10-12 09:00:00,17.1,1.7,1.7,100.0,70.0,47.0,100.0,22.5,347.0,2018-10-12
2018-10-12 10:00:00,15.6,0.2,0.2,100.0,51.0,48.0,100.0,21.2,350.0,2018-10-12
2018-10-12 11:00:00,15.4,0.0,0.0,59.0,32.0,1.0,100.0,20.9,341.0,2018-10-12
2018-10-12 12:00:00,15.2,0.0,0.0,33.0,3.0,0.0,100.0,23.5,335.0,2018-10-12
2018-10-12 13:00:00,15.5,0.0,0.0,29.0,0.0,0.0,98.0,27.9,324.0,2018-10-12
2018-10-12 14:00:00,15.3,0.0,0.0,9.0,0.0,0.0,31.0,28.4,322.0,2018-10-12
2018-10-12 15:00:00,15.9,0.0,0.0,0.0,0.0,0.0,0.0,27.0,323.0,2018-10-12
2018-10-12 16:00:00,16.3,0.0,0.0,0.0,0.0,0.0,0.0,24.6,322.0,2018-10-12
2018-10-12 17:00:00,16.6,0.0,0.0,0.0,0.0,0.0,0.0,23.4,317.0,2018-10-12
2018-10-12 18:00:00,17.0,0.0,0.0,0.0,0.0,0.0,0.0,22.9,312.0,2018-10-12
2018-10-12 19:00:00,17.0,0.0,0.0,0.0,0.0,0.0,0.0,22.4,312.0,2018-10-12
2018-10-12 20:00:00,17.0,0.0,0.0,0.0,0.0,0.0,0.0,20.4,311.0,2018-10-12
2018-10-12 21:00:00,16.5,0.0,0.0,0.0,0.0,0.0,0.0,18.9,309.0,2018-10-12
2018-10-12 22:00:00,14.9,0.0,0.0,3.0,0.0,0.0,9.0,14.5,312.0,2018-10-12
2018-10-12 23:00:00,13.9,0.0,0.0,3.0,0.0,0.0,10.0,11.8,308.0,2018-10-12
2018-10-13 00:00:00,13.1,0.0,0.0,3.0,0.0,0.0,9.0,11.2,303.0,2018-10-13
2018-10-13 01:00:00,12.8,0.0,0.0,0.0,0.0,0.0,0.0,10.8,307.0,2018-10-13
2018-10-13 02:00:00,12.5,0.0,0.0,28.0,0.0,0.0,93.0,11.2,320.0,2018-10-13
2018-10-13 03:00:00,12.1,0.0,0.0,29.0,0.0,0.0,98.0,11.2,320.0,2018-10-13
2018-10-13 04:00:00,11.7,0.0,0.0,30.0,0.0,0.0,100.0,11.5,328.0,2018-10-13
2018-10-13 05:00:00,11.6,0.0,0.0,30.0,0.0,0.0,100.0,11.8,320.0,2018-10-13
2018-10-13 06:00:00,11.7,0.0,0.0,30.0,0.0,0.0,100.0,11.2,327.0,2018-10-13
2018-10-13 07:00:00,11.7,0.0,0.0,58.0,0.0,47.0,99.0,9.3,332.0,2018-10-13
2018-10-13 08:00:00,11.6,0.0,0.0,89.0,1.0,97.0,100.0,7.7,332.0,2018-10-13
2018-10-13 09:00:00,11.5,0.0,0.0,89.0,1.0,96.0,100.0,6.9,321.0,2018-10-13
2018-10-13 10:00:00,10.6,0.0,0.0,85.0,0.0,94.0,96.0,7.3,290.0,2018-10-13
2018-10-13 11:00:00,10.1,0.5,0.5,88.0,9.0,100.0,66.0,8.4,277.0,2018-10-13
2018-10-13 12:00:00,9.5,1.0,1.0,100.0,60.0,100.0,90.0,9.1,263.0,2018-10-13
2018-10-13 13:00:00,9.6,0.8,0.8,100.0,100.0,100.0,94.0,10.8,268.0,2018-10-13
2018-10-13 14:00:00,9.5,0.7,0.7,100.0,81.0,98.0,36.0,13.7,272.0,2018-10-13
2018-10-13 15:00:00,10.0,0.4,0.4,100.0,75.0,91.0,0.0,15.5,270.0,2018-10-13
2018-10-13 16:00:00,10.6,0.2,0.2,85.0,49.0,68.0,0.0,17.4,277.0,2018-10-13
2018-10-13 17:00:00,11.6,0.0,0.0,78.0,57.0,45.0,0.0,17.1,285.0,2018-10-13
2018-10-13 18:00:00,12.4,0.1,0.1,72.0,67.0,19.0,0.0,17.9,298.0,2018-10-13
2018-10-13 19:00:00,13.0,0.0,0.0,89.0,94.0,8.0,0.0,18.2,304.0,2018-10-13
2018-10-13 20:00:00,13.7,0.0,0.0,100.0,92.0,47.0,0.0,17.7,303.0,2018-10-13
2018-10-13 21:00:00,14.2,0.0,0.0,87.0,85.0,17.0,0.0,15.4,303.0,2018-10-13
2018-10-13 22:00:00,13.0,0.0,0.0,73.0,70.0,17.0,0.0,11.1,299.0,2018-10-13
2018-10-13 23:00:00,12.3,0.0,0.0,9.0,10.0,0.0,0.0,9.5,299.0,2018-10-13
2018-10-14 00:00:00,11.8,0.0,0.0,0.0,0.0,0.0,0.0,9.0,293.0,2018-10-14
2018-10-14 01:00:00,11.5,0.0,0.0,0.0,0.0,0.0,0.0,8.4,301.0,2018-10-14
2018-10-14 02:00:00,11.1,0.0,0.0,0.0,0.0,0.0,0.0,6.2,306.0,2018-10-14
2018-10-14 03:00:00,10.5,0.0,0.0,0.0,0.0,0.0,0.0,5.3,298.0,2018-10-14
2018-10-14 04:00:00,10.4,0.0,0.0,0.0,0.0,0.0,0.0,5.5,293.0,2018-10-14
2018-10-14 05:00:00,9.9,0.0,0.0,0.0,0.0,0.0,0.0,5.5,293.0,2018-10-14
2018-10-14 06:00:00,9.7,0.0,0.0,13.0,0.0,0.0,44.0,5.7,288.0,2018-10-14
2018-10-14 07:00:00,9.8,0.0,0.0,0.0,0.0,0.0,1.0,5.8,277.0,2018-10-14
2018-10-14 08:00:00,9.8,0.0,0.0,30.0,0.0,0.0,100.0,5.4,274.0,2018-10-14
2018-10-14 09:00:00,9.8,0.0,0.0,30.0,0.0,0.0,100.0,4.8,257.0,2018-10-14
2018-10-14 10:00:00,9.2,0.0,0.0,30.0,0.0,0.0,100.0,6.2,277.0,2018-10-14
2018-10-14 11:00:00,9.5,0.0,0.0,45.0,0.0,25.0,99.0,6.2,280.0,2018-10-14
2018-10-14 12:00:00,9.5,0.0,0.0,56.0,0.0,58.0,71.0,5.1,309.0,2018-10-14
2018-10-14 13:00:00,9.8,0.0,0.0,41.0,0.0,56.0,26.0,3.3,311.0,2018-10-14
2018-10-14 14:00:00,10.9,0.0,0.0,47.0,0.0,57.0,44.0,5.5,281.0,2018-10-14
2018-10-14 15:00:00,12.9,0.0,0.0,30.0,0.0,1.0,99.0,6.5,264.0,2018-10-14
2018-10-14 16:00:00,13.5,0.0,0.0,38.0,0.0,13.0,100.0,7.4,241.0,2018-10-14
2018-10-14 17:00:00,13.7,0.0,0.0,56.0,0.0,43.0,100.0,8.7,228.0,2018-10-14
2018-10-14 18:00:00,14.1,0.0,0.0,89.0,0.0,99.0,97.0,10.4,224.0,2018-10-14
2018-10-14 19:00:00,14.2,0.0,0.0,79.0,0.0,92.0,78.0,10.7,228.0,2018-10-14
2018-10-14 20:00:00,14.3,0.0,0.0,58.0,0.0,96.0,1.0,8.7,232.0,2018-10-14
2018-10-14 21:00:00,14.4,0.0,0.0,55.0,0.0,91.0,0.0,8.9,223.0,2018-10-14
